Ozzie Albies	ATL	339		1.782708764		1.782708764	16556
Ezequiel Duran	TEX	261		1.765646338		1.765646338	23733
Nick Martinez	TBR		89	0	1.765363336	1.765363336	12730
Noah Cameron	KCR		80	0	1.76289928	1.76289928	30184
Sandy Alcantara	MIA		110	0	1.758902907	1.758902907	18684
MacKenzie Gore	TEX		84	0	1.751576304	1.751576304	22201
Gabriel Moreno	ARI	210		1.749534726		1.749534726	22664
Kazuma Okamoto	TOR	320		1.744542718		1.744542718	37123
Ryan Jeffers	MIN	147		1.720351815		1.720351815	24618
Michael Wacha	KCR		101	0	1.71956563	1.71956563	14078
Jackson Chourio	MIL	205		1.698284507		1.698284507	28806
Brandon Valenzuela	TOR	163		1.697869897		1.697869897	23813
Ketel Marte	ARI	335		1.686788917		1.686788917	13613
Mauricio DubÃ³n	ATL	302		1.680868983		1.680868983	16530
Will Warren	NYY		78.3333	0	1.67442894	1.67442894	30182
Jeremy PeÃ±a	HOU	184		1.669578195		1.669578195	21636
Jac Caglianone	KCR	285		1.667967916		1.667967916	35041
Oneil Cruz	PIT	283		1.653874636		1.653874636	21711
Adrian Morejon	SDP		41	0	1.651171446	1.651171446	20039
Fernando Tatis Jr.	SDP	338		1.648060203		1.648060203	19709
Jung Hoo Lee	SFG	289		1.644276142		1.644276142	33824
Jonathan Aranda	TBR	332		1.633993149		1.633993149	21837
Brandon Marsh	PHI	292		1.633897066		1.633897066	20202
Drake Baldwin	ATL	249		1.619309306		1.619309306	31539
Shane McClanahan	TBR		73.6666	0	1.617350817	1.617350817	21483
Casey Schmitt	SFG	301		1.610305786		1.610305786	27577
Liam Hicks	MIA	288		1.604478002		1.604478002	29844
Payton Tolle	BOS		64.3333	0	1.598825812	1.598825812	35466
Seth Lugo	KCR		85.3333	0	1.596608639	1.596608639	12447
Jhoan Duran	PHI		26.6666	0	1.595480084	1.595480084	21029
Walker Buehler	SDP		72.6666	0	1.590249538	1.590249538	19374
Bryce Elder	ATL		94.6666	0	1.573956251	1.573956251	27779
Nolan McLean	NYM		89.3333	0	1.568679571	1.568679571	33703
Zach Neto	LAA	358		1.559211016		1.559211016	31347
Shane Baz	BAL		94	0	1.553564668	1.553564668	22264
Zack Wheeler	PHI		68.3333	0	1.547273397	1.547273397	10310
Gavin Williams	CLE		96.6666	0	1.511116862	1.511116862	30122
Seiya Suzuki	CHC	275		1.508648515		1.508648515	30116
Cade Cavalli	WSN		77.3333	0	1.507362723	1.507362723	27473
Daulton Varsho	TOR	255		1.503898859		1.503898859	19918
Logan Gilbert	SEA		93	0	1.489018202	1.489018202	22250
Jake Bauers	MIL	276		1.484467864		1.484467864	15194
Julio RodrÃ­guez	SEA	349		1.483953595		1.483953595	23697
